comment,uppercase_count,comment_length,word_count,emoji_count,exclamation_count,question_count,clean_comment,duplicate_count,is_duplicate_comment,suspicion_score,is_suspicious,compound,sentiment,emotion,emotion_score,toxicity_score,is_toxic
Chandan bhai ki puri koshish thi fir le jane ki💀💀,1,49,10,2,0,0,chandan bhai ki puri koshish thi fir le jane ki💀💀,1,False,0,False,0.0,Neutral,neutral,0.6146948337554932,0.022046318277716637,False
"Under the table to nahi, but khule aam Le liya🤪 38:37",2,53,11,1,0,0,"under the table to nahi, but khule aam le liya🤪 38:37",1,False,0,False,0.0,Neutral,neutral,0.777358889579773,0.0005053218919783831,False
I watched this under 1 million ☠️📈,1,34,7,2,0,0,i watched this under 1 million ☠️📈,1,False,0,False,0.0,Neutral,joy,0.84076327085495,0.00037470273673534393,False
SPEAK UP ABOUT SONAM WANGCHUK AND THE SACRIFICE HE IS MAKING FOR THE  EDUCATION SYSTEM,71,86,15,0,0,0,speak up about sonam wangchuk and the sacrifice he is making for the education system,1,False,0,False,0.0,Neutral,neutral,0.9115742444992065,0.0026445602998137474,False
"Nice show yaar, mera break up ho gya aj or soch raha tha uski bina meh mar jaunga but after i see this show main usko khud call karke bola jaha jao ma chu*ao😂",1,158,34,1,0,0,"nice show yaar, mera break up ho gya aj or soch raha tha uski bina meh mar jaunga but after i see this show main usko khud call karke bola jaha jao ma chu*ao😂",1,False,0,False,0.6808,Positive,sadness,0.7109739780426025,0.2689196765422821,False
Yesss sirrrr 💅🏻😭😋,1,17,3,3,0,0,yesss sirrrr 💅🏻😭😋,1,False,0,False,-0.4767,Negative,neutral,0.2929764688014984,0.001116698607802391,False
Amazing hai yaar 2 3 baar dekh liya giny kitni kuchu puchuuu hai ywar ❤,1,71,15,1,0,0,amazing hai yaar 2 3 baar dekh liya giny kitni kuchu puchuuu hai ywar ❤,1,False,0,False,0.8402,Positive,joy,0.7835853099822998,0.05113328620791435,False
The worst episode ever from IGL... 👎😭..,4,39,7,2,0,0,the worst episode ever from igl... 👎😭..,1,False,0,False,-0.802,Negative,disgust,0.6722744107246399,0.03155306726694107,False
Sirf blanders pride ka ads aa raha hei 🙄,1,40,9,1,0,0,sirf blanders pride ka ads aa raha hei 🙄,1,False,0,False,0.34,Positive,joy,0.6229425668716431,0.0014007716672495008,False
21:09 pehele chalo 😂,0,20,4,1,0,0,21:09 pehele chalo 😂,1,False,0,False,0.4404,Positive,neutral,0.8543520569801331,0.016106508672237396,False
57:24 ye bohot mast laga yaar 🤣🤣🤣🤣,0,34,7,4,0,0,57:24 ye bohot mast laga yaar 🤣🤣🤣🤣,1,False,0,False,0.9153,Positive,neutral,0.7371248006820679,0.013953899033367634,False
Next video tak upload kro ge bhai 😢,1,35,8,1,0,0,next video tak upload kro ge bhai 😢,1,False,0,False,-0.4767,Negative,neutral,0.9020971655845642,0.0006487781065516174,False
Awesome work,1,12,2,0,0,0,awesome work,1,False,10,False,0.6249,Positive,joy,0.730225682258606,0.0004890973214060068,False
7:50 amit bhai for crazy xyz😅,0,29,6,1,0,0,7:50 amit bhai for crazy xyz😅,1,False,0,False,0.0258,Neutral,neutral,0.5667134523391724,0.006789037492126226,False
Ek baar 20 tarek ko sonam je ke protest pe support dedo. Bechara etna sab kuch karraha hai. Kohi celebrity nahi ko sport men nahi kohi actor abe tak ek awaz tho chodo tweet tak nahi keya. En badwo ko hame ne ameer banaya aur aaj sabe palat gaye. Don’t be like them. Its our natio protect it.,6,291,58,0,0,0,ek baar 20 tarek ko sonam je ke protest pe support dedo. bechara etna sab kuch karraha hai. kohi celebrity nahi ko sport men nahi kohi actor abe tak ek awaz tho chodo tweet tak nahi keya. en badwo ko hame ne ameer banaya aur aaj sabe palat gaye. don’t be like them. its our natio protect it.,1,False,0,False,0.7003,Positive,anger,0.6317545175552368,0.09850772470235825,False
Ep1<<<<<<ep2,1,12,1,0,0,0,ep1<<<<<<ep2,1,False,10,False,0.0,Neutral,neutral,0.7896433472633362,0.0012499772710725665,False
aree vaii. next episode kab dalo geee..?,0,40,7,0,0,1,aree vaii. next episode kab dalo geee..?,1,False,0,False,0.0,Neutral,neutral,0.3694896399974823,0.0012963543413206935,False
अगर आप CJP का प्रोटेस्ट में नहीं जाओगें तो हम भी आप का वीडियो नही देखेगे। हो सकता हैं आपको कोई फर्क न पारे पर 100 रुपया में 1 रुपया का बहुत महत्व होता है,3,153,35,0,0,0,अगर आप cjp का प्रोटेस्ट में नहीं जाओगें तो हम भी आप का वीडियो नही देखेगे। हो सकता हैं आपको कोई फर्क न पारे पर 100 रुपया में 1 रुपया का बहुत महत्व होता है,1,False,0,False,0.0,Neutral,neutral,0.6224417090415955,0.0004790238745044917,False
37:54 best of latent s2,0,23,5,0,0,0,37:54 best of latent s2,1,False,0,False,0.6369,Positive,neutral,0.884342610836029,0.0003782114654313773,False
Best of season 2,1,16,4,0,0,0,best of season 2,1,False,0,False,0.6369,Positive,neutral,0.7786424160003662,0.0004009694675914943,False
Bhai aap ne blenders Pride ke saath Collab kardiya hai kya sirf usike ad aate hain.,3,83,16,0,0,0,bhai aap ne blenders pride ke saath collab kardiya hai kya sirf usike ad aate hain.,1,False,0,False,0.34,Positive,neutral,0.3557080924510956,0.10070434957742691,False
"@samayrainaofficial Iss baar aisa comeback dena, with proof, ki jis cheez par asal mein behes honi chahiye, uski jagah ek comedian par Supreme Court mein mukadme chal rahe hain... 🙄

What will you do, Samay Raina?",6,213,36,1,0,1,"@samayrainaofficial iss baar aisa comeback dena, with proof, ki jis cheez par asal mein behes honi chahiye, uski jagah ek comedian par supreme court mein mukadme chal rahe hain... 🙄 what will you do, samay raina?",1,False,0,False,0.7351,Positive,neutral,0.42405155301094055,0.011832992546260357,False
Chandan is one of the best artist ❤,1,35,8,1,0,0,chandan is one of the best artist ❤,1,False,0,False,0.8555,Positive,neutral,0.6356030106544495,0.00046336554805748165,False
Bring Sharon as a judge in it,2,29,7,0,0,0,bring sharon as a judge in it,1,False,0,False,0.0,Neutral,neutral,0.4576044976711273,0.001623330288566649,False
Gennie is too innocent yarrr 🫠😭😭😭😭❤ the way she has taken permission from samay to sit was proving how calm and innocent she is ❤❤,1,130,25,8,0,0,gennie is too innocent yarrr 🫠😭😭😭😭❤ the way she has taken permission from samay to sit was proving how calm and innocent she is ❤❤,1,False,10,False,0.8074,Positive,joy,0.8587623834609985,0.0007866510422900319,False
Bhai kapil sharma ko bhi lekr aao show me,1,41,9,0,0,0,bhai kapil sharma ko bhi lekr aao show me,1,False,0,False,0.0,Neutral,joy,0.5533680319786072,0.012795902788639069,False
Bouncers be like   . Chal putle abb 😅,2,37,8,1,0,0,bouncers be like . chal putle abb 😅,1,False,0,False,0.6124,Positive,neutral,0.7813467383384705,0.030137164518237114,False
isi baat pe ek chai ho jaaye 😂.... chandan bhai pura episode khaaa gaye ❤❤,0,74,15,3,0,0,isi baat pe ek chai ho jaaye 😂.... chandan bhai pura episode khaaa gaye ❤❤,1,False,0,False,0.9062,Positive,joy,0.4815574288368225,0.05259217321872711,False
Best episode ❤❤❤❤,1,17,3,4,0,0,best episode ❤❤❤❤,1,False,0,False,0.9719,Positive,neutral,0.4701887369155884,0.00032335970900021493,False
okay....everybody gotta relate bonus clips are funnier than other.😂😂😂😂😂😂😂😂,0,74,9,8,0,0,okay....everybody gotta relate bonus clips are funnier than other.😂😂😂😂😂😂😂😂,1,False,10,False,0.9806,Positive,neutral,0.6267638206481934,0.0006777701200917363,False
Ep 3 jaldi daal😡,1,16,4,1,0,0,ep 3 jaldi daal😡,1,False,0,False,0.0,Neutral,neutral,0.49512338638305664,0.017489029094576836,False
Ep 3 kaha hain be??😡,1,20,5,1,0,2,ep 3 kaha hain be??😡,1,False,0,False,0.0,Neutral,surprise,0.4569295048713684,0.001767488312907517,False
"clip-paper bhi leak ho rahe h 
thanks",0,37,7,0,0,0,clip-paper bhi leak ho rahe h thanks,1,False,0,False,0.128,Positive,joy,0.4637139141559601,0.0014270995743572712,False
3:41 samay and blaraj bond vo mera chandan,0,42,8,0,0,0,3:41 samay and blaraj bond vo mera chandan,1,False,0,False,0.0,Neutral,neutral,0.542082667350769,0.0004756310081575066,False
yeh bc blenders pride ka ad aa rha hai like har 10 min mei,0,58,14,0,0,0,yeh bc blenders pride ka ad aa rha hai like har 10 min mei,1,False,0,False,0.5994,Positive,neutral,0.3633832633495331,0.022873379290103912,False
Better than 1st ep,1,18,4,0,0,0,better than 1st ep,1,False,0,False,0.4404,Positive,joy,0.5616012215614319,0.0006199502968229353,False
Bhai Gov Ko bol paisa dene ke liye... Or kitna public ko chuna lageya bhai,4,74,15,0,0,0,bhai gov ko bol paisa dene ke liye... or kitna public ko chuna lageya bhai,1,False,0,False,0.0,Neutral,neutral,0.8234995603561401,0.007965506054461002,False
100 lakh subscriber complete samay ji😊,0,38,6,1,0,0,100 lakh subscriber complete samay ji😊,1,False,0,False,0.7184,Positive,joy,0.543624758720398,0.00048527977196499705,False
Sonam sir k liye aaiye samay Raina ji,2,37,8,0,0,0,sonam sir k liye aaiye samay raina ji,1,False,0,False,0.0,Neutral,joy,0.47698432207107544,0.007516365963965654,False
Year iss video Pura dekh liya na to is batpe ek 1:00:00  😂,2,58,13,1,0,0,year iss video pura dekh liya na to is batpe ek 1:00:00 😂,1,False,0,False,0.4404,Positive,neutral,0.8355986475944519,0.01190976332873106,False
भाईया सोनम वांगचुक सर भूख हड़ताल पर है कम से कम ट्वीट ही कर दो कुछ बोलो या ना बोलो मिलने भी मत जाओ कुछ तो एक दो शब्द बोल कर दो सोशल मीडिया के माध्यम से 😢😢,0,154,38,2,0,0,भाईया सोनम वांगचुक सर भूख हड़ताल पर है कम से कम ट्वीट ही कर दो कुछ बोलो या ना बोलो मिलने भी मत जाओ कुछ तो एक दो शब्द बोल कर दो सोशल मीडिया के माध्यम से 😢😢,1,False,0,False,-0.7351,Negative,neutral,0.4795864224433899,0.0005109769990667701,False
🎉 1🌚 million,0,12,3,2,0,0,🎉 1🌚 million,1,False,0,False,0.4019,Positive,neutral,0.6899614334106445,0.00041264723404310644,False
Where is episode 3,1,18,4,0,0,0,where is episode 3,1,False,0,False,0.0,Neutral,neutral,0.863178014755249,0.0004414441355038434,False
Ek chaiiii hojaye issi baat pe bhai😂😂❤❤,1,39,7,4,0,0,ek chaiiii hojaye issi baat pe bhai😂😂❤❤,1,False,0,False,0.9349,Positive,neutral,0.6499951481819153,0.015927841886878014,False
Gaali 8:37,1,10,2,0,0,0,gaali 8:37,1,False,10,False,0.0,Neutral,neutral,0.5311127305030823,0.0010985510889440775,False
अरे नवीन व्हिडिओ टाक ना 🎉🎉,0,26,6,2,0,0,अरे नवीन व्हिडिओ टाक ना 🎉🎉,1,False,0,False,0.6597,Positive,neutral,0.6758928894996643,0.002739757066592574,False
## support Sonam Wangchuk,2,25,4,0,0,0,## support sonam wangchuk,1,False,0,False,0.4019,Positive,neutral,0.8782329559326172,0.001671349979005754,False
Mc y taking so long to realest part 3,1,37,9,0,0,0,mc y taking so long to realest part 3,1,False,0,False,0.0,Neutral,neutral,0.6077093482017517,0.0009536198922432959,False
THANKYOU………,8,11,1,0,0,0,thankyou………,1,False,10,False,0.0,Neutral,neutral,0.5077084302902222,0.0005201271851547062,False
SAVE SONAM WANGCHUK SIR😢😢,20,25,4,2,0,0,save sonam wangchuk sir😢😢,1,False,0,False,-0.4588,Negative,neutral,0.8760975003242493,0.00514812720939517,False
Bhai Spinal muscular atrophy disability vale bachho ko apne show me lao,2,71,12,0,0,0,bhai spinal muscular atrophy disability vale bachho ko apne show me lao,1,False,0,False,0.0,Neutral,sadness,0.6313132047653198,0.013491571880877018,False
Bhai 13 din ho gay abb to daal do naya,1,38,10,0,0,0,bhai 13 din ho gay abb to daal do naya,1,False,0,False,0.0,Neutral,neutral,0.7440181374549866,0.7182675004005432,False
Bhai Collab with munnawar🎉🎉🎉,2,28,4,3,0,0,bhai collab with munnawar🎉🎉🎉,1,False,0,False,0.7964,Positive,neutral,0.6631090044975281,0.0013041290221735835,False
Bhai Collab with munnawar🎉🎉,2,27,4,2,0,0,bhai collab with munnawar🎉🎉,1,False,0,False,0.6597,Positive,neutral,0.6579332947731018,0.0014341240748763084,False
Bhai Collab with munnawar 🎉🎉,2,28,5,2,0,0,bhai collab with munnawar 🎉🎉,1,False,0,False,0.6597,Positive,neutral,0.5709776878356934,0.0013785954797640443,False
latent ka asli contestant blenders pride,0,40,6,0,0,0,latent ka asli contestant blenders pride,1,False,0,False,0.34,Positive,neutral,0.6708101630210876,0.03741993010044098,False
Samay bhaiya hum aapke sth h aap tension mt lo😢,1,47,10,1,0,0,samay bhaiya hum aapke sth h aap tension mt lo😢,1,False,0,False,-0.6597,Negative,joy,0.5687755346298218,0.012240329757332802,False
"Abhi tak ka sab se belar episode 
Not funny",2,43,9,0,0,0,abhi tak ka sab se belar episode not funny,1,False,0,False,-0.3412,Negative,surprise,0.4943472445011139,0.0009432233055122197,False
"Samay bhai 
Please 🙏 support Sonam sir and CJP",6,46,9,1,0,0,samay bhai please 🙏 support sonam sir and cjp,1,False,0,False,0.6124,Positive,neutral,0.7043051719665527,0.0010680004488676786,False
One and only guest kesari lal yadav 👍🏻 plz,1,42,9,1,0,0,one and only guest kesari lal yadav 👍🏻 plz,1,False,0,False,0.0772,Positive,sadness,0.784825325012207,0.0023378769401460886,False
"show tyming 2 hour - 1 hour latent
1 hour blender pride 😂",0,57,13,1,0,0,show tyming 2 hour - 1 hour latent 1 hour blender pride 😂,1,False,0,False,0.6486,Positive,neutral,0.873927116394043,0.0006519214948639274,False
Bring trump plz,1,15,3,0,0,0,bring trump plz,1,False,0,False,0.0772,Positive,neutral,0.7771275639533997,0.017207743600010872,False
Samay bhai Zayn saifi ko bualo r2h ke Zayn saifi ko 😂😂😂,3,55,12,3,0,0,samay bhai zayn saifi ko bualo r2h ke zayn saifi ko 😂😂😂,1,False,0,False,0.8271,Positive,neutral,0.8102061748504639,0.018040508031845093,False
Has has k pagal ho gyi😂 bonus was the best part,1,47,11,1,0,0,has has k pagal ho gyi😂 bonus was the best part,1,False,0,False,0.891,Positive,joy,0.8748818635940552,0.009486725553870201,False
Bncd smay ye blenders pride ki ad hi kyo dikhati hai.,1,53,11,0,0,0,bncd smay ye blenders pride ki ad hi kyo dikhati hai.,1,False,0,False,0.34,Positive,joy,0.6962316632270813,0.07406248897314072,False
10 million ho gaye,0,18,4,0,0,0,10 million ho gaye,1,False,0,False,0.0,Neutral,joy,0.6789847016334534,0.12397090345621109,False
"imagine chandu , kapil and akshay kumar sir on the panel",0,56,11,0,0,0,"imagine chandu , kapil and akshay kumar sir on the panel",1,False,0,False,0.0,Neutral,neutral,0.7995955348014832,0.0010027708485722542,False
3 episode kab aayega.????,0,25,4,0,0,4,3 episode kab aayega.????,1,False,0,False,0.0,Neutral,neutral,0.5307280421257019,0.0006462297751568258,False
3rd episode??????????,0,21,2,0,0,10,3rd episode??????????,1,False,10,False,0.0,Neutral,surprise,0.6968967914581299,0.0005783592932857573,False
Superb,1,6,1,0,0,0,superb,1,False,10,False,0.6249,Positive,neutral,0.45593032240867615,0.0015654809540137649,False
Bro just imagine if CarryMinati and Round2Hell appeared on *India's Got Talent* 💀,8,81,13,1,0,0,bro just imagine if carryminati and round2hell appeared on *india's got talent* 💀,1,False,0,False,0.4215,Positive,neutral,0.8745104670524597,0.001211581053212285,False
Blendors pride kii mkc,1,22,4,0,0,0,blendors pride kii mkc,1,False,0,False,0.34,Positive,neutral,0.7118985056877136,0.011826972477138042,False
"Samay sir.. 
do you watch your dance short on vachidamma song 
Watch it 😂
 it's amazing 🤩",2,89,17,2,0,0,samay sir.. do you watch your dance short on vachidamma song watch it 😂 it's amazing 🤩,1,False,0,False,0.7717,Positive,surprise,0.5977675318717957,0.0013126739067956805,False
Sonam Wangchuk ko support karne ki video kab banaogii?,2,54,9,0,0,1,sonam wangchuk ko support karne ki video kab banaogii?,1,False,0,False,0.4019,Positive,neutral,0.7581807374954224,0.012203056365251541,False
Chand show king❤,1,16,3,1,0,0,chand show king❤,1,False,0,False,0.6369,Positive,neutral,0.7790132761001587,0.001149023650214076,False
Please sir ak video banau Sonam Wangchuk ki hunger protest ka par please sir this was a very good person,3,104,20,0,0,0,please sir ak video banau sonam wangchuk ki hunger protest ka par please sir this was a very good person,1,False,0,False,0.5849,Positive,neutral,0.7036178708076477,0.00046913544065319,False
Chandan ka future kya hoga agar platform free ho,1,48,9,0,0,0,chandan ka future kya hoga agar platform free ho,1,False,0,False,0.5106,Positive,neutral,0.8579374551773071,0.0005355252651497722,False
Waste of time,1,13,3,0,0,0,waste of time,1,False,0,False,-0.4215,Negative,sadness,0.32330188155174255,0.000911527022253722,False
"Bhai 3rd episode kab aae ga ,?",1,30,7,0,0,1,"bhai 3rd episode kab aae ga ,?",1,False,0,False,0.0,Neutral,surprise,0.45587316155433655,0.0005996035761199892,False
where do i watch the full episodes,0,34,7,0,0,0,where do i watch the full episodes,1,False,0,False,0.0,Neutral,neutral,0.8157814741134644,0.0005093363579362631,False
love this show feels good it is back,0,36,8,0,0,0,love this show feels good it is back,1,False,0,False,0.7964,Positive,joy,0.9687497019767761,0.00047910973080433905,False
बलराज कुछ याद आया 😂,0,19,5,1,0,0,बलराज कुछ याद आया 😂,1,False,0,False,0.4404,Positive,neutral,0.7893657684326172,0.000352449162164703,False
The day op sunil grover come on the show samay will hide under his shadow.,1,74,15,0,0,0,the day op sunil grover come on the show samay will hide under his shadow.,1,False,0,False,-0.1779,Negative,sadness,0.5107397437095642,0.0025170613080263138,False
Saste popper hai 😂,1,18,4,1,0,0,saste popper hai 😂,1,False,0,False,0.4404,Positive,neutral,0.7606967091560364,0.03279848024249077,False
yr samay Raina kya cheez h yr mst comedy 😂😂😂,1,44,10,3,0,0,yr samay raina kya cheez h yr mst comedy 😂😂😂,1,False,0,False,0.8807,Positive,joy,0.7418487668037415,0.004129793029278517,False
Desh me 1400m log h,1,19,5,0,0,0,desh me 1400m log h,1,False,0,False,0.0,Neutral,neutral,0.8682721257209778,0.17144837975502014,False
Balraj is a true gentleman,1,26,5,0,0,0,balraj is a true gentleman,1,False,0,False,0.4215,Positive,neutral,0.8995639085769653,0.004741156939417124,False
23:28 chandu sir rocks ❤😂😂😂🤣🤣,0,29,5,6,0,0,23:28 chandu sir rocks ❤😂😂😂🤣🤣,1,False,10,False,0.9601,Positive,neutral,0.8445450663566589,0.0016354992985725403,False
